name	check	run	class	detail
env	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
eprint	0	0	RUNS	
eprintln	0	0	RUNS	
exec	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
exit	0	0	RUNS	
exp	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
factorial	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
filter	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
find	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
first	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
flat	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
flat_map	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
flatten	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
float	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
floor	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
gcd	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
get	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
getenv	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
has_key	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
hash_sha256	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
hkdf_sha256	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
hmac_sha256	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
hmac_sha256_bytes	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
hmac_sha256_hex	1	1	FAIL_CLOSED_OK	ANUBIS_EXECUTION_CHECK_FAILED
